year_month_day,ma_20,ma_50,rsi,macd,macd_signal,bb_high,bb_low,roc,not,red_green,close
2018-01-29,11377.244,11412.538,42.786966876077294,-749.4458133088137,-775.9905804618206,14628.215109244877,9527.976890755126,2.386158985657193,169199,red,11251.0
2018-01-30,11189.692000000001,11156.295,38.05435989957224,-805.8581363415014,-781.9640916377568,14160.209289640794,9529.02471035921,-6.608848591995773,259212,red,10237.51
2018-01-31,11028.912,11031.805,38.39891463506132,-837.0759035455558,-792.9864540193166,14014.778110649951,9379.087889350047,-10.369342691664816,201422,green,10285.1
2018-02-01,10575.616,10878.252,33.87660981666163,-936.5996139926592,-821.7090860139851,13828.326703690798,9113.990296309204,-27.933099686404777,316020,red,9224.52
2018-02-02,9974.232,10685.637,32.51009801806484,-1031.9396194541496,-863.7551927020181,13467.319774782229,8941.300225217774,-23.043972246313956,453411,red,8873.03
2018-02-03,9564.024,10470.634,35.1311528568354,-1068.7963232264938,-904.7634188069134,13160.982577863799,8820.134422136203,-14.498910321048697,327519,green,9199.96
2018-02-04,9153.484,10171.588,31.093186717395824,-1166.473269791988,-957.1053890039283,12890.41720184969,8555.18779815031,-24.20896771791932,356134,red,8184.81
2018-02-05,8484.462,9756.687,26.995631751024447,-1329.0095296961008,-1031.4862171423629,13244.616514797643,7804.987485202357,-38.85465978384122,533510,red,6939.99
2018-02-06,8169.986,9372.801,32.47783948458094,-1384.3976589121867,-1102.0685054963278,13340.156463136103,7375.782536863895,-31.526128675190847,785996,green,7652.14
2018-02-07,7915.18,8944.706,32.283027508415756,-1416.2553936665317,-1164.9058831303687,13388.221011017376,6991.420988982624,-31.47263053476418,514893,red,7599.0
2018-02-08,7631.992,8598.008,33.772554356382855,-1410.3160645576372,-1213.9879194158225,13309.933305163595,6700.6126948364035,-32.25985553911757,12417,green,7784.02
2018-02-09,7731.814,8442.649000000001,40.614667523920815,-1317.8038715001567,-1234.7511098326895,12887.922347352853,6711.021652647147,-26.902722654556634,273091,green,8683.92
2018-02-10,8050.611999999999,8267.537,39.875460812643006,-1242.2661262670863,-1236.254113119569,12677.890403926336,6621.451596073664,-24.149142298462362,537578,red,8533.98
2018-02-11,8132.960000000001,8151.473,37.56687763294493,-1206.4281079076482,-1230.2889120771847,12573.257135431302,6456.467864568696,-21.232018332582825,524626,red,8063.88
2018-02-12,8393.76,8154.469999999999,43.81926314078473,-1097.663072350735,-1203.7637441318948,12430.502572103858,6409.604427896142,-13.437885873739685,477660,green,8903.0
2018-02-13,8544.936,8088.464,41.865491735450654,-1028.9045621867645,-1168.7919077428687,12176.761559608974,6382.336440391026,-7.421741185449224,401893,red,8539.9
2018-02-14,8698.15,8214.982,48.110473357511545,-890.7087543695579,-1113.1752770682067,11959.353167941634,6427.216832058365,6.502401096356025,514897,green,9449.99
2018-02-15,8991.372,8520.992,51.501764571178306,-728.4025373689601,-1036.2207291283573,11794.157870587413,6483.5211294125875,8.697103030882754,608349,green,10000.09
2018-02-16,9410.592,8771.776000000002,52.47402092322536,-580.1839053899294,-945.0133643806718,11549.184397564328,6595.392602435672,24.132142346615243,405310,green,10159.98
2018-02-17,9837.901999999998,9115.831,57.519249236644875,-387.28128597171417,-833.4669486988803,11337.947313858418,6722.589686141581,59.071554858148204,413585,green,11039.55
2018-02-18,10206.607999999998,9375.772,52.99945458872342,-284.0733501201594,-723.5882289831362,11154.315722113679,6819.46427788632,35.693152503744045,537534,red,10383.43
2018-02-19,10547.210000000001,9622.68,57.243296925517924,-138.58492915247007,-606.5875690170029,11338.081917956886,6727.247082043112,46.769311751546255,366882,green,11153.0
2018-02-20,10787.390000000001,9889.381,57.50100162710489,-19.19069700795626,-489.1081946151936,11514.26873898948,6642.6492610105215,43.89724075734645,432197,green,11200.99
2018-02-21,10842.914,10126.753,52.11955282256929,13.673281988547387,-388.55189929444543,11645.831879755766,6632.394120244237,20.194566509134127,542340,red,10437.6
2018-02-22,10597.212000000001,10217.557,48.13748983243284,-10.71640149839186,-312.9847997352348,11706.128191955702,6665.898808044296,14.964412853088493,506273,red,9811.04
2018-02-23,10546.734,10376.671,50.228980714567285,-4.175938116382895,-251.22302741146441,11786.169872554308,6678.965127445694,25.634806073503086,467480,green,10131.04
2018-02-24,10255.036,10401.123,47.41960896178022,-33.82696038841277,-207.74381400685408,11822.254591144425,6793.850408855579,8.89037403122543,337918,red,9694.51
2018-02-25,9932.838,10360.114,46.74551072526708,-65.00930592475015,-179.1969123904333,11708.887521820796,7172.218478179204,12.296396913312806,233567,red,9590.0
2018-02-26,9910.118,10376.516,51.91553848614369,-30.14636518057341,-149.38680294846134,11716.659629579979,7431.632370420022,9.248792855865458,285276,green,10324.0
2018-02-27,10061.718,10329.465,53.53722679611396,17.05880338173847,-116.09768168242138,11702.515608428394,7742.780391571606,5.689448794960852,240542,green,10569.04
2018-02-28,10100.862,10323.797999999999,51.6812980156276,34.521328000282665,-85.97387974588058,11632.074268626156,8067.495731373843,1.6415386644461964,277886,red,10326.76
2018-03-01,10345.960000000001,10300.498,55.728263811806976,95.1333763139537,-49.752428533913715,11717.657987538916,8205.520012461084,-1.0829245757299826,230428,green,10920.0
2018-03-02,10635.76,10284.299,56.51504598026332,151.03018480683932,-9.595905865763108,11773.723646906314,8399.956353093687,6.313616983983132,211691,green,11039.0
2018-03-03,10863.856,10386.987,59.300127286249385,227.0442634288247,37.73212799315446,11770.488378654256,8743.251621345746,2.7927911772617193,190444,green,11464.48
2018-03-04,11053.047999999999,10557.382999999998,59.63073922667955,288.04213968902513,87.79413033232859,11861.512258620809,8913.427741379193,2.8034129126086196,168359,green,11515.0
2018-03-05,11278.496,10689.679,59.007458681780555,327.6838702098212,135.77207830782712,11810.93673807949,9255.413261920508,9.737870774890775,164318,red,11454.0
2018-03-06,11237.791999999998,10791.876,51.93884401366343,296.1744126952326,167.8525451853082,11774.92950889273,9418.06949110727,9.228787162217243,250306,red,10716.48
2018-03-07,11011.991999999998,10823.876,45.517702870136596,203.7777219052241,175.03758052929138,11780.158110915298,9403.8318890847,-2.1818095674284264,396721,red,9910.0
2018-03-08,10573.423999999999,10718.640000000001,41.1781632707109,78.14159411356377,155.65838324614586,11857.226873455751,9237.929126544248,-4.361953311719734,336514,red,9271.64
2018-03-09,10115.823999999999,10584.436,40.88462378547979,-24.742797678918578,119.57814706113298,11865.035993774767,9048.865006225235,-3.7851929092805006,462712,red,9227.0
2018-03-10,9579.068,10428.782000000001,37.90689367954463,-141.50654853993365,67.36120794091966,11965.192513019578,8787.387486980424,-15.05017435102674,288066,red,8770.22
